# Sample bubble data for ice rendering
# Format: x, y, z, radius
# Generated for testing purposes
# Ice radius: 16.5 (centered at origin)

# Distribution 1: Concentrated at center (high density)
0.5, 0.3, -0.2, 0.35
-0.8, 0.5, 0.4, 0.28
0.2, -0.6, 0.3, 0.42
-0.3, -0.2, -0.5, 0.31
0.7, 0.1, 0.6, 0.25
-0.4, 0.8, -0.3, 0.38
0.1, -0.4, -0.7, 0.33
-0.6, -0.3, 0.2, 0.29
0.4, 0.6, 0.1, 0.36
-0.2, 0.2, 0.5, 0.27

1.2, 0.8, -0.5, 0.32
-1.1, 0.4, 0.7, 0.41
0.9, -0.9, 0.2, 0.28
-0.7, -0.6, -0.8, 0.35
1.0, 0.3, 0.9, 0.30
-0.5, 1.1, -0.4, 0.37
0.3, -0.8, -1.0, 0.26
-0.9, -0.2, 0.6, 0.34
0.6, 0.9, 0.3, 0.29
-0.1, 0.5, 0.8, 0.40

1.5, -0.3, 0.4, 0.33
-1.3, 0.7, -0.6, 0.38
0.8, 1.2, -0.2, 0.31
-0.6, -1.0, 0.5, 0.27
1.1, 0.2, -0.8, 0.35
-0.4, 0.3, 1.1, 0.29
0.2, -1.1, 0.7, 0.42
-0.8, 0.6, -0.9, 0.36
1.0, -0.5, 0.3, 0.28
-0.2, 1.0, 0.4, 0.33

# Distribution 2: Spread across volume (low density)
2.5, 1.8, -1.2, 0.45
-2.1, 1.4, 2.0, 0.52
1.8, -2.3, 1.1, 0.38
-1.5, -1.8, -2.2, 0.48
2.2, 0.9, 2.4, 0.41
-1.2, 2.6, -1.0, 0.55
0.8, -2.0, -2.5, 0.43
-2.4, -0.7, 1.5, 0.47
1.6, 2.1, 0.6, 0.39
-0.5, 1.5, 2.2, 0.50

3.2, -1.1, 0.8, 0.44
-2.8, 1.9, -1.4, 0.51
2.0, 2.5, -0.5, 0.46
-1.7, -2.4, 1.8, 0.42
2.6, 0.4, -1.9, 0.53
-1.0, 0.8, 2.8, 0.40
1.3, -2.7, 1.4, 0.48
-2.3, 1.2, -2.0, 0.45
2.4, -0.6, 1.7, 0.49
-0.8, 2.3, 1.0, 0.44

4.5, 0.5, -2.0, 0.52
-3.8, 2.1, 1.2, 0.58
3.0, -3.2, 0.3, 0.46
-2.5, -2.8, -1.5, 0.55
3.5, 1.8, 2.1, 0.50
-2.0, 3.5, -0.8, 0.48
1.5, -3.0, -2.8, 0.53
-3.2, -1.0, 2.5, 0.57
2.8, 2.8, 0.9, 0.45
-1.2, 2.0, 3.0, 0.51

5.0, -2.0, 1.5, 0.55
-4.2, 1.0, -2.5, 0.60
3.8, 3.0, -1.0, 0.48
-3.0, -3.5, 2.0, 0.56
4.0, 0.0, 3.0, 0.52
-2.5, 4.0, 0.5, 0.58
2.0, -4.0, 1.0, 0.50
-4.0, 2.0, 2.0, 0.54
3.5, -1.5, -3.0, 0.47
-1.5, 3.0, -3.5, 0.59
